Type,A,B,C,D,E,Tongue,Winding-width,Winding-length,K-ratio,Remarks,Fig-No
SB1R,8,28,25,4,4,8,6,17,816,-,1
SB3R,9.5,35,29.5,5,5,9.5,7.75,19.5,1435.6875,-,1
17,12.7,38.1,31.75,6.35,6.35,12.7,6.35,19.05,1536.28725,-,1
74,18.07,53.93,45.11,8.94,8.94,18.07,8.99,27.23,4423.494439,WW 8.9,2
12A,15.87,47.62,38.68,7.93,7.93,15.87,7.945,22.82,2877.308763,-,1
74,18,54,45,9,9,18,9,27,4374,-,1
23,19.05,57.15,47.62,9.52,9.52,19.05,9.53,28.58,5188.59897,-,1
30,20,60,50,10,10,20,10,30,6000,4 Holes 3.96 mm,2
31,22.22,66.67,65.56,11.11,11.11,22.22,11.115,43.34,10703.9095,-,1
15,25.4,76.2,63.3,12.7,12.7,25.4,12.7,37.9,12225.782,4 Holes 5.55 mm,2
33,28,84,70,14,14,28,14,42,16464,4 Holes 4.36 mm,2
3,31.75,94.25,79.37,15.87,15.87,31.75,15.38,47.63,23258.44345,4 Holes 5.55 mm,2
16,38.1,114.3,95.25,19.05,19.05,38.1,19.05,57.15,41479.75575,4 Holes 5.55 mm,2
6,38.1,127,114.3,19.05,19.05,38.1,25.4,76.2,73741.788,4 Holes 7.14 mm,2
43,50.8,152.4,127,25.4,25.4,50.8,25.4,76.2,98322.384,4 Holes 6.74 mm,2
8,50.8,184.15,171.45,25.4,25.4,50.8,41.275,120.65,252975.3005,4 Holes 9.52 mm,2
8B,76.2,234.95,196.85,38.1,38.1,76.2,41.275,120.65,379462.9508,4 Holes 11.0 mm,2
8C,76.2,234.9,317.2,37.9,38.2,76.2,41.45,240.8,760564.392,4 Holes 11.0 mm,2
I180,60,180,150,30,30,60,30,90,162000,4 Holes 11.0 mm,2
I120,40,120,100,20,20,40,20,60,48000,4 Holes 11.0 mm,2
S14,88.7,267,222,44.5,44.5,88.7,44.65,133,526740.515,4 Holes 12.5 mm,2
S12,100,304,254,51,51,100,51,152,775200,4 Holes 12.5 mm,2
S15,126,380,316,63.5,63.5,126,63.5,189,1512189,4 Holes 12.5 mm,2