combination,Normal Conductor Area mmÂ² 	,Conductor Weight for 1000m/Kg,height,weight
3x3,9,79.47,3.3,3.3
4x3,12,105.96,3.3,4.3
5x3,15,132.45,3.3,5.3
3x3x2,18,158.94,6.6,3.3
3x3x3,27,238.41,9.9,3.3
4x3x2,24,211.92,6.6,4.3
4x3x3,36,317.88,9.9,4.3
4x3x4,48,423.84,13.2,4.3
5x3x2,30,264.9,6.6,5.3
5x3x3,45,397.35,9.9,5.3
5x3x4,60,529.8,13.2,5.3
5x3x5,75,662.25,16.5,5.3
5x3x6,90,794.7,19.8,5.3
7x3x2,42,370.86,6.6,7.3
7x3x3,63,556.29,9.9,7.3
7x3x4,84,741.72,13.2,7.3
7x3x5,105,927.15,16.5,7.3
7x3x6,126,1112.58,19.8,7.3